gene,count
ELN,6423
ELOB,1485
ELOC,9272
ELSPBP1,440
EMC1,21923
EMC4,6579
EMD,33173
EMP1,84810
EMP2,124716
EMSY,11383
EMX2,23979
EN1,696
EN2,1928
ENG,18202
ENKUR,1026
ENO2,4099
ENOSF1,9985
ENOX1,875
ENOX2,11103
ENPEP,4171
ENPP1,3810
ENPP2,12449
ENPP3,1337
ENTPD1,16525
ENTPD2,1734
EOMES,1483
EP300,36879
EPAS1,65411
EPB41L3,2988
EPCAM,20547
EPDR1,15901
EPG5,5517
EPHA1,10907
EPHA10,1345
EPHA2,38638
EPHA3,2379
EPHA4,5222
EPHA7,1772
EPHA8,427
EPHB1,1590
EPHB2,5781
EPHB4,17475
EPHB6,8428
EPHX1,15616
EPHX2,4225
EPM2AIP1,5481
EPO,1132
EPOR,4917
EPRS,31284
EPS8L3,715
ERAP1,27212
ERAS,384
ERBB2,13653
ERBB3,18889
ERC1,10568
ERCC1,8901
ERCC2,3864
ERCC3,9305
ERCC4,7582
ERCC5,14404
ERCC6,9238
EREG,1386
ERFE,1308
ERG,3304
ERG28,6407
ERGIC2,16599
ERICH3,4914
ERLIN2,9373
ERMAP,5320
ERN1,18912
ERP27,1576
ERRFI1,40985
ERVFRD-1,818
ERVMER34-1,4188
ESF1,5534
ESM1,7630
ESR1,60751
ESR2,2121
ESRRA,9719
ESRRG,413
ETS1,12749
ETV1,1739
ETV3,8481
ETV5,4042
ETV6,18721
EVI2B,4714
EVI5,12966
EWSR1,79697
EXO1,6099
EXOSC10,9527
EYA1,1043
EYA4,481
EZH1,9112
EZH2,27998
EZHIP,754
F11,863
F11R,115459
F12,3558
F13A1,7343
F2,12
F2R,18851
F2RL1,8367
F2RL3,3700
F3,67151
F5,2231
F7,9206
F8,1404
FAAH,2569
FABP2,1140
FABP3,2403
FABP7,1054
FADD,8211
FADS1,7233
FADS2,19346
FAF1,25108
FAF2,16648
FAIM,6981
FAIM2,580
FAM107A,4595
FAM110A,4252
FAM117B,8251
FAM126B,6615
FAM131C,3046
FAM161A,1986
FAM168A,18330
FAM183A,1925
FAM193A,8590
FAM216B,1954
FAM3A,10284
FAM53C,19303
FAM76B,2987
FAM98A,10738
FAM9B,1071
FANCA,1469
FANCC,4615
FANCD2,3542
FANCI,12280
FAP,9794
FAR1,70320
FAS,10327
FASLG,1569
FASN,5053
FAT1,50891
FAT2,32631
FAT3,623
FAT4,4227
FBL,96434
FBLN2,4442
FBLN5,5518
FBP1,3613
FBXO16,926
FBXO25,9399
FBXO33,5923
FBXO42,5505
FBXO43,1623
FBXO45,16634
FBXW11,11543
FBXW7,3682
FCAR,891
